time_ms,voltage_mV,m,h,n,injected_current_uA_per_cm2
89.565,-64.96975518404254,0.05312783814738964,0.5952019049324517,0.318136088371683,0
89.57000000000001,-64.96977548985198,0.05312770564942384,0.5952018233697705,0.318136092266477,0
89.575,-64.96979577464296,0.05312757326451059,0.5952017422720173,0.3181360958727401,0
89.58,-64.96981603836217,0.05312744099304648,0.5952016616384864,0.3181360991910321,0
89.58500000000001,-64.9698362809565,0.05312730883542677,0.5952015814684715,0.3181361022219132,0
89.59,-64.96985650237309,0.05312717679204541,0.5952015017612651,0.3181361049659437,0
89.595,-64.96987670255925,0.05312704486329497,0.5952014225161597,0.3181361074236844,0
89.60000000000001,-64.96989688146249,0.05312691304956669,0.5952013437324467,0.3181361095956962,0
89.605,-64.96991703903058,0.05312678135125048,0.595201265409417,0.3181361114825399,0
89.61,-64.96993717521143,0.05312664976873493,0.5952011875463606,0.318136113084777,0
89.61499999999999,-64.9699572899532,0.05312651830240724,0.5952011101425675,0.318136114402969,0
89.62,-64.96997738320424,0.05312638695265329,0.5952010331973263,0.3181361154376776,0
89.625,-64.96999745491313,0.05312625571985765,0.5952009567099253,0.3181361161894647,0
89.63,-64.97001750502862,0.05312612460440358,0.5952008806796524,0.3181361166588925,0
89.63500000000001,-64.97003753349968,0.05312599360667294,0.5952008051057943,0.3181361168465233,0
89.64,-64.9700575402755,0.0531258627270463,0.5952007299876376,0.3181361167529196,0
89.645,-64.97007752530547,0.05312573196590287,0.595200655324468,0.3181361163786442,0
89.65000000000001,-64.97009748853917,0.05312560132362056,0.5952005811155706,0.31813611572426,0
89.655,-64.97011742992639,0.05312547080057591,0.59520050736023,0.3181361147903301,0
89.66,-64.97013734941713,0.05312534039714417,0.59520043405773,0.3181361135774178,0
89.66500000000001,-64.97015724696162,0.05312521011369925,0.5952003612073542,0.3181361120860866,0
89.67,-64.97017712251024,0.05312507995061373,0.5952002888083852,0.3181361103169002,0
89.675,-64.97019697601361,0.05312494990825885,0.5952002168601049,0.3181361082704224,0
89.68000000000001,-64.97021680742257,0.05312481998700457,0.5952001453617951,0.3181361059472173,0
89.685,-64.97023661668813,0.05312469018721948,0.5952000743127367,0.3181361033478489,0
89.69,-64.97025640376151,0.05312456050927084,0.5952000037122102,0.3181361004728818,0
89.69500000000001,-64.97027616859415,0.05312443095352463,0.5951999335594951,0.3181360973228803,0
89.7,-64.97029591113768,0.05312430152034547,0.5951998638538708,0.3181360938984093,0
89.705,-64.97031563134394,0.05312417221009669,0.5951997945946159,0.3181360902000335,0
89.71000000000001,-64.97033532916497,0.05312404302314028,0.5951997257810087,0.318136086228318,0
89.715,-64.97035500455303,0.05312391395983692,0.5951996574123265,0.3181360819838279,0
89.72,-64.97037465746054,0.05312378502054595,0.5951995894878463,0.3181360774671286,0
89.72500000000001,-64.97039428784016,0.05312365620562542,0.5951995220068448,0.3181360726787854,0
89.73,-64.97041389564475,0.05312352751543208,0.5951994549685976,0.3181360676193641,0
89.735,-64.97043348082737,0.05312339895032132,0.5951993883723802,0.3181360622894303,0
89.73999999999999,-64.97045304334127,0.05312327051064723,0.5951993222174673,0.3181360566895498,0
89.745,-64.97047258313989,0.05312314219676263,0.5951992565031332,0.3181360508202888,0
89.75,-64.97049210017693,0.05312301400901897,0.5951991912286518,0.3181360446822135,0
89.755,-64.97051159440622,0.05312288594776635,0.5951991263932962,0.31813603827589,0
89.76000000000001,-64.97053106578184,0.05312275801335368,0.5951990619963392,0.3181360316018848,0
89.765,-64.97055051425806,0.0531226302061285,0.595198998037053,0.3181360246607643,0
89.77,-64.97056993978933,0.05312250252643703,0.5951989345147092,0.3181360174530954,0
